,IS_SPECIAL,IN_PLAYERS_TEAM,IS_AI_CONTROLLED,MUST_SURVIVE,CLASS,KILL_TO_WIN,HP_MAX,HP_CURRENT,MP_MAX,MP_CURRENT,LEVEL,XP,STRENGTH,INTELLIGENCE,DEFENCE,WISDOM,ACCURACY,AGILITY
FIGHTER,,,,,,,"10,20,",,"0,2,",,,,"4,12,","0,4,","0,1,","0,4,","0,1,","0,1,"
ARCHER,,,,,,,"6,12,",,"0,4,",,,,"3,9,","1,5,","0,1,","0,4,","1,3,","0,1,"
MAGE,,,,,,,"4,8,",,"10,20,",,,,"0,2,","4,8,","0,1,","0,8,","0,1,","0,1,"
PRIEST,,,,,,,"6,12, ",,"8,16,",,,,"0,4,","2,6,","0,1,","4,8,","0,1,","0,1,"
WARRIOR,,,,,,,"16,32,",,"0,6,",,,,"6,16,","0,4,","0,0,","0,4,","0,1,","0,2,"
KNIGHT,,,,,,,"12,24,",,"2,8,",,,,"4,12,","2,4,","0,5,","0,4,","0,1,","0,0,"
RANGER,,,,,,,"10,20,",,"2,8,",,,,"2,8,","2,4,","0,2,","2,4,","2,4,","2,4,"
SNIPER,,,,,,,"6,12,",,"0,6,",,,,"0,4,","2,4,","0,0,","2,4,","4,8,","0,0,"
WIZARD,,,,,,,"4,8, ",,"12,16,",,,,"0,4,","4,8,","0,0,","0,10,","0,0,","0,0,"
SORCERER,,,,,,,"4,8, ",,"8,24,",,,,"0,4,","4,8,","0,0,","0,4,","0,0,","0,0,"
HEALER,,,,,,,"6,12, ",,"8,16,",,,,"0,4,","4,8,","0,0,","4,8,","0,0,","0,0,"
MONK,,,,,,,"10,20,",,"4,10,",,,,"2,6,","2,4,","0,10,","2,12,","2,4,","4,8,"
